id,chemical,date,misurations
0,"1,2,3-Trichlorobenzene",2008-01,1
1,"1,2,3-Trichlorobenzene",2008-02,4
2,"1,2,3-Trichlorobenzene",2008-03,4
3,"1,2,3-Trichlorobenzene",2008-05,1
4,"1,2,3-Trichlorobenzene",2008-06,4
5,"1,2,3-Trichlorobenzene",2008-07,7
6,"1,2,3-Trichlorobenzene",2008-08,3
7,"1,2,3-Trichlorobenzene",2008-09,2
8,"1,2,3-Trichlorobenzene",2008-10,4
9,"1,2,3-Trichlorobenzene",2008-11,4
10,"1,2,3-Trichlorobenzene",2009-01,1
11,"1,2,3-Trichlorobenzene",2009-02,3
12,"1,2,3-Trichlorobenzene",2009-03,4
13,"1,2,3-Trichlorobenzene",2009-04,3
14,"1,2,3-Trichlorobenzene",2009-05,4
15,"1,2,3-Trichlorobenzene",2009-06,4
16,"1,2,3-Trichlorobenzene",2009-07,4
17,"1,2,3-Trichlorobenzene",2009-08,4
18,"1,2,3-Trichlorobenzene",2009-09,4
19,"1,2,3-Trichlorobenzene",2009-10,4
20,"1,2,3-Trichlorobenzene",2009-11,4
21,"1,2,3-Trichlorobenzene",2009-12,3
22,"1,2,4-Trichlorobenzene",2008-01,1
23,"1,2,4-Trichlorobenzene",2008-02,4
24,"1,2,4-Trichlorobenzene",2008-03,4
25,"1,2,4-Trichlorobenzene",2008-05,1
26,"1,2,4-Trichlorobenzene",2008-06,4
27,"1,2,4-Trichlorobenzene",2008-07,7
28,"1,2,4-Trichlorobenzene",2008-08,3
29,"1,2,4-Trichlorobenzene",2008-09,2
30,"1,2,4-Trichlorobenzene",2008-10,4
31,"1,2,4-Trichlorobenzene",2008-11,4
32,"1,2,4-Trichlorobenzene",2009-01,1
33,"1,2,4-Trichlorobenzene",2009-02,3
34,"1,2,4-Trichlorobenzene",2009-03,4
35,"1,2,4-Trichlorobenzene",2009-04,3
36,"1,2,4-Trichlorobenzene",2009-05,4
37,"1,2,4-Trichlorobenzene",2009-06,4
38,"1,2,4-Trichlorobenzene",2009-07,4
39,"1,2,4-Trichlorobenzene",2009-08,4
40,"1,2,4-Trichlorobenzene",2009-09,4
41,"1,2,4-Trichlorobenzene",2009-10,4
42,"1,2,4-Trichlorobenzene",2009-11,4
43,"1,2,4-Trichlorobenzene",2009-12,3
44,AGOC-3A,2014-01,13
45,AGOC-3A,2014-02,12
46,AGOC-3A,2014-03,16
47,AGOC-3A,2014-04,9
48,AGOC-3A,2014-05,17
49,AGOC-3A,2014-06,13
50,AGOC-3A,2014-07,15
51,AGOC-3A,2014-08,15
52,AGOC-3A,2014-09,13
53,AGOC-3A,2014-10,15
54,AGOC-3A,2014-11,15
55,AGOC-3A,2014-12,15
56,AGOC-3A,2015-01,14
57,AGOC-3A,2015-02,15
58,AGOC-3A,2015-03,15
59,AGOC-3A,2015-04,15
60,AGOC-3A,2015-05,15
61,AGOC-3A,2015-06,15
62,AGOC-3A,2015-07,13
63,AGOC-3A,2015-08,15
64,AGOC-3A,2015-09,12
65,AGOC-3A,2015-10,9
66,AGOC-3A,2015-11,4
67,AGOC-3A,2015-12,3
68,AGOC-3A,2016-01,13
69,AGOC-3A,2016-02,15
70,AGOC-3A,2016-03,15
71,AGOC-3A,2016-04,15
72,AGOC-3A,2016-05,11
73,AGOC-3A,2016-06,15
74,AGOC-3A,2016-07,15
75,AGOC-3A,2016-08,14
76,AGOC-3A,2016-09,15
77,AGOC-3A,2016-10,15
78,AGOC-3A,2016-11,15
79,AGOC-3A,2016-12,3
80,AOX,1998-01,7
81,AOX,1998-02,7
82,AOX,1998-03,7
83,AOX,1998-04,11
84,AOX,1998-05,8
85,AOX,1998-06,11
86,AOX,1998-07,8
87,AOX,1998-08,11
88,AOX,1998-09,8
89,AOX,1998-10,14
90,AOX,1998-11,14
91,AOX,1998-12,14
92,AOX,2008-01,9
93,AOX,2008-02,8
94,AOX,2008-03,11
95,AOX,2008-05,8
96,AOX,2008-10,11
97,AOX,2008-11,11
98,AOX,2008-12,13
99,AOX,2009-01,15
100,AOX,2009-02,15
101,AOX,2009-03,15
102,AOX,2009-04,15
103,AOX,2009-05,15
104,AOX,2009-06,15
105,AOX,2009-07,15
106,AOX,2009-08,15
107,AOX,2009-09,12
108,AOX,2009-10,11
109,AOX,2009-11,11
110,AOX,2009-12,11
111,AOX,2010-01,2
112,AOX,2010-02,4
113,AOX,2010-03,4
114,AOX,2010-04,4
115,AOX,2010-05,4
116,AOX,2010-06,4
117,AOX,2010-07,4
118,AOX,2010-08,4
119,AOX,2010-09,4
120,AOX,2010-10,4
121,AOX,2010-11,4
122,AOX,2010-12,1
123,AOX,2013-01,4
124,AOX,2013-02,4
125,AOX,2013-03,4
126,AOX,2013-04,4
127,AOX,2013-05,4
128,AOX,2013-06,4
129,AOX,2013-07,4
130,AOX,2013-08,4
131,AOX,2013-09,4
132,AOX,2013-10,4
133,AOX,2013-11,4
134,AOX,2013-12,4
135,AOX,2016-01,3
136,AOX,2016-02,4
137,AOX,2016-03,4
138,AOX,2016-04,4
139,AOX,2016-05,4
140,AOX,2016-06,4
141,AOX,2016-07,4
142,AOX,2016-08,4
143,AOX,2016-09,4
144,AOX,2016-10,4
145,AOX,2016-11,2
146,AOX,2016-12,4
147,Acenaphthene,2008-01,1
148,Acenaphthene,2008-02,4
149,Acenaphthene,2008-03,4
150,Acenaphthene,2008-05,1
151,Acenaphthene,2008-06,4
152,Acenaphthene,2008-07,7
153,Acenaphthene,2008-08,3
154,Acenaphthene,2008-09,2
155,Acenaphthene,2008-10,4
156,Acenaphthene,2008-11,4
157,Acenaphthene,2009-01,1
158,Acenaphthene,2009-02,3
159,Acenaphthene,2009-03,4
160,Acenaphthene,2009-04,3
161,Acenaphthene,2009-05,4
162,Acenaphthene,2009-06,4
163,Acenaphthene,2009-07,4
164,Acenaphthene,2009-08,4
165,Acenaphthene,2009-09,4
166,Acenaphthene,2009-10,4
167,Acenaphthene,2009-11,4
168,Acenaphthene,2009-12,3
169,Acenaphthylene,2008-01,1
170,Acenaphthylene,2008-02,4
171,Acenaphthylene,2008-03,4
172,Acenaphthylene,2008-05,1
173,Acenaphthylene,2008-06,4
174,Acenaphthylene,2008-07,7
175,Acenaphthylene,2008-08,3
176,Acenaphthylene,2008-09,2
177,Acenaphthylene,2008-10,4
178,Acenaphthylene,2008-11,4
179,Acenaphthylene,2009-01,1
180,Acenaphthylene,2009-02,3
181,Acenaphthylene,2009-03,4
182,Acenaphthylene,2009-04,3
183,Acenaphthylene,2009-05,4
184,Acenaphthylene,2009-06,4
185,Acenaphthylene,2009-07,4
186,Acenaphthylene,2009-08,4
187,Acenaphthylene,2009-09,4
188,Acenaphthylene,2009-10,4
189,Acenaphthylene,2009-11,4
190,Acenaphthylene,2009-12,3
191,Alachlor,2005-05,19
192,Alachlor,2005-07,21
193,Alachlor,2005-08,21
194,Alachlor,2005-09,21
195,Alachlor,2006-01,7
196,Alachlor,2006-02,21
197,Alachlor,2006-03,18
198,Alachlor,2006-04,20
199,Alachlor,2006-05,11
200,Alachlor,2006-06,21
201,Alachlor,2006-07,21
202,Alachlor,2006-08,21
203,Alachlor,2006-09,18
204,Alachlor,2006-10,16
205,Alachlor,2006-11,21
206,Alachlor,2006-12,18
207,Alachlor,2007-01,21
208,Alachlor,2007-02,15
209,Alachlor,2007-03,21
210,Alachlor,2007-04,19
211,Alachlor,2007-05,18
212,Alachlor,2007-06,18
213,Alachlor,2007-07,21
214,Alachlor,2007-08,18
215,Alachlor,2007-09,18
216,Alachlor,2007-10,16
217,Alachlor,2007-11,18
218,Alachlor,2007-12,18
219,Alachlor,2009-09,6
220,Alachlor,2009-10,5
221,Alachlor,2009-11,1
222,Aldrin,2005-01,18
223,Aldrin,2005-02,9
224,Aldrin,2005-03,21
225,Aldrin,2005-04,21
226,Aldrin,2005-05,21
227,Aldrin,2005-06,19
228,Aldrin,2005-07,21
229,Aldrin,2005-08,21
230,Aldrin,2005-09,21
231,Aldrin,2005-10,5
232,Aldrin,2005-11,2
233,Aldrin,2005-12,4
234,Aldrin,2006-01,4
235,Aldrin,2006-02,19
236,Aldrin,2006-03,13
237,Aldrin,2006-04,20
238,Aldrin,2006-05,2
239,Aldrin,2006-06,16
240,Aldrin,2006-07,21
241,Aldrin,2006-08,21
242,Aldrin,2006-09,18
243,Aldrin,2006-10,16
244,Aldrin,2006-11,21
245,Aldrin,2006-12,18
246,Aldrin,2007-01,21
247,Aldrin,2007-02,16
248,Aldrin,2007-03,21
249,Aldrin,2007-04,19
250,Aldrin,2007-05,17
251,Aldrin,2007-06,18
252,Aldrin,2007-07,21
253,Aldrin,2007-08,18
254,Aldrin,2007-09,18
255,Aldrin,2007-10,16
256,Aldrin,2007-11,18
257,Aldrin,2007-12,18
258,Aldrin,2008-01,1
259,Aldrin,2008-02,4
260,Aldrin,2008-03,4
261,Aldrin,2008-05,9
262,Aldrin,2008-06,4
263,Aldrin,2008-07,7
264,Aldrin,2008-08,4
265,Aldrin,2008-09,2
266,Aldrin,2008-10,4
267,Aldrin,2008-11,4
268,Aldrin,2009-01,1
269,Aldrin,2009-02,3
270,Aldrin,2009-03,4
271,Aldrin,2009-04,4
272,Aldrin,2009-05,4
273,Aldrin,2009-06,4
274,Aldrin,2009-07,5
275,Aldrin,2009-08,4
276,Aldrin,2009-09,10
277,Aldrin,2009-10,9
278,Aldrin,2009-11,5
279,Aldrin,2009-12,3
280,Aluminium,2008-05,9
281,Aluminium,2008-10,11
282,Aluminium,2009-04,11
283,Aluminium,2009-05,11
284,Aluminium,2009-06,11
285,Aluminium,2009-07,8
286,Aluminium,2009-08,8
287,Aluminium,2009-09,10
288,Aluminium,2009-10,11
289,Aluminium,2009-11,11
290,Aluminium,2009-12,11
291,Aluminium,2010-01,11
292,Aluminium,2014-06,3
293,Ammonium,1998-01,7
294,Ammonium,1998-02,7
295,Ammonium,1998-03,7
296,Ammonium,1998-04,11
297,Ammonium,1998-05,8
298,Ammonium,1998-06,11
299,Ammonium,1998-07,8
300,Ammonium,1998-08,11
301,Ammonium,1998-09,8
302,Ammonium,1998-10,14
303,Ammonium,1998-11,14
304,Ammonium,1998-12,14
305,Ammonium,1999-01,15
306,Ammonium,1999-02,15
307,Ammonium,1999-03,15
308,Ammonium,1999-04,15
309,Ammonium,1999-05,15
310,Ammonium,1999-06,15
311,Ammonium,1999-07,16
312,Ammonium,1999-08,14
313,Ammonium,1999-09,14
314,Ammonium,1999-10,14
315,Ammonium,1999-11,14
316,Ammonium,1999-12,14
317,Ammonium,2000-01,14
318,Ammonium,2000-02,15
319,Ammonium,2000-03,15
320,Ammonium,2000-04,15
321,Ammonium,2000-05,15
322,Ammonium,2000-06,15
323,Ammonium,2000-07,15
324,Ammonium,2000-08,15
325,Ammonium,2000-09,15
326,Ammonium,2000-10,15
327,Ammonium,2000-11,15
328,Ammonium,2000-12,15
329,Ammonium,2001-01,15
330,Ammonium,2001-02,12
331,Ammonium,2001-03,15
332,Ammonium,2001-04,15
333,Ammonium,2001-05,15
334,Ammonium,2001-06,15
335,Ammonium,2001-07,15
336,Ammonium,2001-08,15
337,Ammonium,2001-09,15
338,Ammonium,2001-10,4
339,Ammonium,2001-11,11
340,Ammonium,2001-12,10
341,Ammonium,2002-01,9
342,Ammonium,2002-02,20
343,Ammonium,2002-03,18
344,Ammonium,2002-04,15
345,Ammonium,2002-05,21
346,Ammonium,2002-06,21
347,Ammonium,2002-07,21
348,Ammonium,2002-08,21
349,Ammonium,2002-09,24
350,Ammonium,2002-10,33
351,Ammonium,2002-11,16
352,Ammonium,2002-12,21
353,Ammonium,2003-01,17
354,Ammonium,2003-02,18
355,Ammonium,2003-03,21
356,Ammonium,2003-04,21
357,Ammonium,2003-05,21
358,Ammonium,2003-06,21
359,Ammonium,2003-07,21
360,Ammonium,2003-08,18
361,Ammonium,2003-09,15
362,Ammonium,2003-10,21
363,Ammonium,2003-11,21
364,Ammonium,2003-12,21
365,Ammonium,2004-01,16
366,Ammonium,2004-02,20
367,Ammonium,2004-03,21
368,Ammonium,2004-04,21
369,Ammonium,2004-05,21
370,Ammonium,2004-06,21
371,Ammonium,2004-07,21
372,Ammonium,2004-08,21
373,Ammonium,2004-09,21
374,Ammonium,2004-10,18
375,Ammonium,2004-11,10
376,Ammonium,2004-12,16
377,Ammonium,2005-01,21
378,Ammonium,2005-02,21
379,Ammonium,2005-03,21
380,Ammonium,2005-04,21
381,Ammonium,2005-05,21
382,Ammonium,2005-06,21
383,Ammonium,2005-07,21
384,Ammonium,2005-08,21
385,Ammonium,2005-09,21
386,Ammonium,2005-10,21
387,Ammonium,2005-11,21
388,Ammonium,2005-12,21
389,Ammonium,2006-01,21
390,Ammonium,2006-02,21
391,Ammonium,2006-03,21
392,Ammonium,2006-04,21
393,Ammonium,2006-05,21
394,Ammonium,2006-06,21
395,Ammonium,2006-07,20
396,Ammonium,2006-08,21
397,Ammonium,2006-09,21
398,Ammonium,2006-10,19
399,Ammonium,2006-11,21
400,Ammonium,2006-12,21
401,Ammonium,2007-01,21
402,Ammonium,2007-02,19
403,Ammonium,2007-03,20
404,Ammonium,2007-04,19
405,Ammonium,2007-05,21
406,Ammonium,2007-06,21
407,Ammonium,2007-07,21
408,Ammonium,2007-08,15
409,Ammonium,2007-09,18
410,Ammonium,2007-10,16
411,Ammonium,2007-11,19
412,Ammonium,2007-12,18
413,Ammonium,2008-01,14
414,Ammonium,2008-02,16
415,Ammonium,2008-03,18
416,Ammonium,2008-04,9
417,Ammonium,2008-05,20
418,Ammonium,2008-06,21
419,Ammonium,2008-07,21
420,Ammonium,2008-08,27
421,Ammonium,2008-09,22
422,Ammonium,2008-10,27
423,Ammonium,2008-11,21
424,Ammonium,2008-12,17
425,Ammonium,2009-01,22
426,Ammonium,2009-02,24
427,Ammonium,2009-03,24
428,Ammonium,2009-04,24
429,Ammonium,2009-05,24
430,Ammonium,2009-06,24
431,Ammonium,2009-07,24
432,Ammonium,2009-08,21
433,Ammonium,2009-09,23
434,Ammonium,2009-10,24
435,Ammonium,2009-11,24
436,Ammonium,2009-12,24
437,Ammonium,2010-01,20
438,Ammonium,2010-02,24
439,Ammonium,2010-03,24
440,Ammonium,2010-04,24
441,Ammonium,2010-05,23
442,Ammonium,2010-06,23
443,Ammonium,2010-07,24
444,Ammonium,2010-08,23
445,Ammonium,2010-09,32
446,Ammonium,2010-10,30
447,Ammonium,2010-11,31
448,Ammonium,2010-12,29
449,Ammonium,2011-01,25
450,Ammonium,2011-02,29
451,Ammonium,2011-03,27
452,Ammonium,2011-04,23
453,Ammonium,2011-05,30
454,Ammonium,2011-06,29
455,Ammonium,2011-07,27
456,Ammonium,2011-08,34
457,Ammonium,2011-09,23
458,Ammonium,2011-10,25
459,Ammonium,2011-11,31
460,Ammonium,2011-12,28
461,Ammonium,2012-01,19
462,Ammonium,2012-02,27
463,Ammonium,2012-03,26
464,Ammonium,2012-04,25
465,Ammonium,2012-05,27
466,Ammonium,2012-06,19
467,Ammonium,2012-07,29
468,Ammonium,2012-08,17
469,Ammonium,2012-09,26
470,Ammonium,2012-10,29
471,Ammonium,2012-11,30
472,Ammonium,2012-12,26
473,Ammonium,2013-01,22
474,Ammonium,2013-02,26
475,Ammonium,2013-03,24
476,Ammonium,2013-04,24
477,Ammonium,2013-05,21
478,Ammonium,2013-06,26
479,Ammonium,2013-07,24
480,Ammonium,2013-08,24
481,Ammonium,2013-09,24
482,Ammonium,2013-10,21
483,Ammonium,2013-11,30
484,Ammonium,2013-12,29
485,Ammonium,2014-01,23
486,Ammonium,2014-02,7
487,Ammonium,2014-03,33
488,Ammonium,2014-04,26
489,Ammonium,2014-05,27
490,Ammonium,2014-06,27
491,Ammonium,2014-07,23
492,Ammonium,2014-08,32
493,Ammonium,2014-09,34
494,Ammonium,2014-10,29
495,Ammonium,2014-11,37
496,Ammonium,2014-12,28
497,Ammonium,2015-01,25
498,Ammonium,2015-02,25
499,Ammonium,2015-03,27
500,Ammonium,2015-04,25
501,Ammonium,2015-05,27
502,Ammonium,2015-06,27
503,Ammonium,2015-07,28
504,Ammonium,2015-08,33
505,Ammonium,2015-09,25
506,Ammonium,2015-10,28
507,Ammonium,2015-11,31
508,Ammonium,2015-12,27
509,Ammonium,2016-01,24
510,Ammonium,2016-02,28
511,Ammonium,2016-03,25
512,Ammonium,2016-04,25
