id,chemical,date,location,misurations
0,"1,2,3-Trichlorobenzene",2008-01,Boonsri,1
1,"1,2,3-Trichlorobenzene",2008-02,Boonsri,3
2,"1,2,3-Trichlorobenzene",2008-02,Kohsoom,1
3,"1,2,3-Trichlorobenzene",2008-03,Boonsri,3
4,"1,2,3-Trichlorobenzene",2008-03,Kohsoom,1
5,"1,2,3-Trichlorobenzene",2008-05,Kohsoom,1
6,"1,2,3-Trichlorobenzene",2008-06,Boonsri,3
7,"1,2,3-Trichlorobenzene",2008-06,Kohsoom,1
8,"1,2,3-Trichlorobenzene",2008-07,Boonsri,6
9,"1,2,3-Trichlorobenzene",2008-07,Kohsoom,1
10,"1,2,3-Trichlorobenzene",2008-08,Boonsri,3
11,"1,2,3-Trichlorobenzene",2008-09,Boonsri,1
12,"1,2,3-Trichlorobenzene",2008-09,Kohsoom,1
13,"1,2,3-Trichlorobenzene",2008-10,Boonsri,3
14,"1,2,3-Trichlorobenzene",2008-10,Kohsoom,1
15,"1,2,3-Trichlorobenzene",2008-11,Boonsri,3
16,"1,2,3-Trichlorobenzene",2008-11,Kohsoom,1
17,"1,2,3-Trichlorobenzene",2009-01,Boonsri,1
18,"1,2,3-Trichlorobenzene",2009-02,Boonsri,3
19,"1,2,3-Trichlorobenzene",2009-03,Boonsri,3
20,"1,2,3-Trichlorobenzene",2009-03,Kohsoom,1
21,"1,2,3-Trichlorobenzene",2009-04,Boonsri,3
22,"1,2,3-Trichlorobenzene",2009-05,Boonsri,3
23,"1,2,3-Trichlorobenzene",2009-05,Kohsoom,1
24,"1,2,3-Trichlorobenzene",2009-06,Boonsri,3
25,"1,2,3-Trichlorobenzene",2009-06,Kohsoom,1
26,"1,2,3-Trichlorobenzene",2009-07,Boonsri,3
27,"1,2,3-Trichlorobenzene",2009-07,Kohsoom,1
28,"1,2,3-Trichlorobenzene",2009-08,Boonsri,3
29,"1,2,3-Trichlorobenzene",2009-08,Kohsoom,1
30,"1,2,3-Trichlorobenzene",2009-09,Boonsri,3
31,"1,2,3-Trichlorobenzene",2009-09,Kohsoom,1
32,"1,2,3-Trichlorobenzene",2009-10,Boonsri,3
33,"1,2,3-Trichlorobenzene",2009-10,Kohsoom,1
34,"1,2,3-Trichlorobenzene",2009-11,Boonsri,3
35,"1,2,3-Trichlorobenzene",2009-11,Kohsoom,1
36,"1,2,3-Trichlorobenzene",2009-12,Boonsri,3
37,"1,2,4-Trichlorobenzene",2008-01,Boonsri,1
38,"1,2,4-Trichlorobenzene",2008-02,Boonsri,3
