id,chemical,date,value,year
0,"1,2,3-Trichlorobenzene",2008-01,0.0,2008
1,"1,2,3-Trichlorobenzene",2008-02,1.0,2008
2,"1,2,3-Trichlorobenzene",2008-03,0.0,2008
3,"1,2,3-Trichlorobenzene",2008-05,0.0,2008
4,"1,2,3-Trichlorobenzene",2008-06,0.0,2008
5,"1,2,3-Trichlorobenzene",2008-07,0.0,2008
6,"1,2,3-Trichlorobenzene",2008-08,0.0,2008
7,"1,2,3-Trichlorobenzene",2008-09,0.0,2008
8,"1,2,3-Trichlorobenzene",2008-10,0.0,2008
9,"1,2,3-Trichlorobenzene",2008-11,0.0,2008
10,"1,2,3-Trichlorobenzene",2009-01,0.0,2009
11,"1,2,3-Trichlorobenzene",2009-02,0.0,2009
12,"1,2,3-Trichlorobenzene",2009-03,0.0,2009
13,"1,2,3-Trichlorobenzene",2009-04,0.0,2009
14,"1,2,3-Trichlorobenzene",2009-05,0.0,2009
15,"1,2,3-Trichlorobenzene",2009-06,0.0,2009
16,"1,2,3-Trichlorobenzene",2009-07,0.0,2009
17,"1,2,3-Trichlorobenzene",2009-08,0.0,2009
18,"1,2,3-Trichlorobenzene",2009-09,0.0,2009
19,"1,2,3-Trichlorobenzene",2009-10,0.0,2009
20,"1,2,3-Trichlorobenzene",2009-11,0.0,2009
21,"1,2,3-Trichlorobenzene",2009-12,0.0,2009
22,"1,2,4-Trichlorobenzene",2008-01,,2008
23,"1,2,4-Trichlorobenzene",2008-02,,2008
24,"1,2,4-Trichlorobenzene",2008-03,,2008
25,"1,2,4-Trichlorobenzene",2008-05,,2008
26,"1,2,4-Trichlorobenzene",2008-06,,2008
27,"1,2,4-Trichlorobenzene",2008-07,,2008
28,"1,2,4-Trichlorobenzene",2008-08,,2008
29,"1,2,4-Trichlorobenzene",2008-09,,2008
30,"1,2,4-Trichlorobenzene",2008-10,,2008
31,"1,2,4-Trichlorobenzene",2008-11,,2008
32,"1,2,4-Trichlorobenzene",2009-01,,2009
33,"1,2,4-Trichlorobenzene",2009-02,,2009
34,"1,2,4-Trichlorobenzene",2009-03,,2009
35,"1,2,4-Trichlorobenzene",2009-04,,2009
36,"1,2,4-Trichlorobenzene",2009-05,,2009
37,"1,2,4-Trichlorobenzene",2009-06,,2009
38,"1,2,4-Trichlorobenzene",2009-07,,2009
39,"1,2,4-Trichlorobenzene",2009-08,,2009
40,"1,2,4-Trichlorobenzene",2009-09,,2009
41,"1,2,4-Trichlorobenzene",2009-10,,2009
42,"1,2,4-Trichlorobenzene",2009-11,,2009
43,"1,2,4-Trichlorobenzene",2009-12,,2009
44,AGOC-3A,2014-01,0.015347258506135832,2014
45,AGOC-3A,2014-02,0.014238337682295552,2014
46,AGOC-3A,2014-03,0.014962956282902016,2014
47,AGOC-3A,2014-04,0.015436883110646275,2014
48,AGOC-3A,2014-05,0.03522369683334098,2014
49,AGOC-3A,2014-06,0.01577040417989006,2014
50,AGOC-3A,2014-07,0.014863873344104097,2014
51,AGOC-3A,2014-08,0.02155662741731674,2014
52,AGOC-3A,2014-09,0.023444327284120298,2014
53,AGOC-3A,2014-10,0.041741851460042514,2014
54,AGOC-3A,2014-11,0.04171511100427056,2014
55,AGOC-3A,2014-12,0.016437740169539944,2014
56,AGOC-3A,2015-01,1.0,2015
57,AGOC-3A,2015-02,0.3672381393117716,2015
58,AGOC-3A,2015-03,0.015467443631528528,2015
59,AGOC-3A,2015-04,0.015604965975498647,2015
60,AGOC-3A,2015-05,0.023199255414737652,2015
61,AGOC-3A,2015-06,0.01460792898171526,2015
62,AGOC-3A,2015-07,0.018935181198176856,2015
63,AGOC-3A,2015-08,0.0911123729453166,2015
64,AGOC-3A,2015-09,0.04757318085088675,2015
65,AGOC-3A,2015-10,0.11893518049853125,2015
66,AGOC-3A,2015-11,0.04020045518804407,2015
67,AGOC-3A,2015-12,0.015570585389506114,2015
68,AGOC-3A,2016-01,0.002132771736186219,2016
69,AGOC-3A,2016-02,0.000359086120366431,2016
70,AGOC-3A,2016-03,0.0,2016
71,AGOC-3A,2016-04,0.019787937271256544,2016
72,AGOC-3A,2016-05,0.007682150936775464,2016
73,AGOC-3A,2016-06,0.04665063512675385,2016
74,AGOC-3A,2016-07,0.04458397990209173,2016
75,AGOC-3A,2016-08,0.00156322521548578,2016
76,AGOC-3A,2016-09,0.003323456645944632,2016
77,AGOC-3A,2016-10,0.009603643687246899,2016
78,AGOC-3A,2016-11,0.00028650488327108847,2016
79,AGOC-3A,2016-12,0.0012644415515030724,2016
80,AOX,1998-01,0.0,1998
81,AOX,1998-02,0.0,1998
82,AOX,1998-03,0.0,1998
83,AOX,1998-04,0.0,1998
84,AOX,1998-05,0.0,1998
85,AOX,1998-06,0.0,1998
86,AOX,1998-07,0.0,1998
87,AOX,1998-08,0.0,1998
88,AOX,1998-09,0.0,1998
89,AOX,1998-10,0.0,1998
90,AOX,1998-11,0.0,1998
91,AOX,1998-12,0.0,1998
92,AOX,2008-01,0.36836158192090396,2008
93,AOX,2008-02,0.4858757062146892,2008
94,AOX,2008-03,0.4756034925526451,2008
95,AOX,2008-05,0.4646892655367232,2008
96,AOX,2008-10,0.44006163328197234,2008
97,AOX,2008-11,0.45752439650744736,2008
