id,chemical,year,location,value
0,"1,2,3-Trichlorobenzene",2008-01,Boonsri,0.001
1,"1,2,3-Trichlorobenzene",2008-02,Boonsri,0.001
2,"1,2,3-Trichlorobenzene",2008-02,Kohsoom,0.0253
3,"1,2,3-Trichlorobenzene",2008-03,Boonsri,0.001
4,"1,2,3-Trichlorobenzene",2008-03,Kohsoom,0.001
5,"1,2,3-Trichlorobenzene",2008-05,Kohsoom,0.001
6,"1,2,3-Trichlorobenzene",2008-06,Boonsri,0.001
7,"1,2,3-Trichlorobenzene",2008-06,Kohsoom,0.001
8,"1,2,3-Trichlorobenzene",2008-07,Boonsri,0.001
9,"1,2,3-Trichlorobenzene",2008-07,Kohsoom,0.001
10,"1,2,3-Trichlorobenzene",2008-08,Boonsri,0.001
11,"1,2,3-Trichlorobenzene",2008-09,Boonsri,0.001
12,"1,2,3-Trichlorobenzene",2008-09,Kohsoom,0.001
13,"1,2,3-Trichlorobenzene",2008-10,Boonsri,0.001
14,"1,2,3-Trichlorobenzene",2008-10,Kohsoom,0.001
15,"1,2,3-Trichlorobenzene",2008-11,Boonsri,0.001
16,"1,2,3-Trichlorobenzene",2008-11,Kohsoom,0.001
17,"1,2,3-Trichlorobenzene",2009-01,Boonsri,0.001
18,"1,2,3-Trichlorobenzene",2009-02,Boonsri,0.001
19,"1,2,3-Trichlorobenzene",2009-03,Boonsri,0.001
20,"1,2,3-Trichlorobenzene",2009-03,Kohsoom,0.001
21,"1,2,3-Trichlorobenzene",2009-04,Boonsri,0.001
22,"1,2,3-Trichlorobenzene",2009-05,Boonsri,0.001
23,"1,2,3-Trichlorobenzene",2009-05,Kohsoom,0.001
24,"1,2,3-Trichlorobenzene",2009-06,Boonsri,0.001
25,"1,2,3-Trichlorobenzene",2009-06,Kohsoom,0.001
26,"1,2,3-Trichlorobenzene",2009-07,Boonsri,0.001
27,"1,2,3-Trichlorobenzene",2009-07,Kohsoom,0.001
28,"1,2,3-Trichlorobenzene",2009-08,Boonsri,0.001
29,"1,2,3-Trichlorobenzene",2009-08,Kohsoom,0.001
30,"1,2,3-Trichlorobenzene",2009-09,Boonsri,0.001
31,"1,2,3-Trichlorobenzene",2009-09,Kohsoom,0.001
32,"1,2,3-Trichlorobenzene",2009-10,Boonsri,0.001
33,"1,2,3-Trichlorobenzene",2009-10,Kohsoom,0.001
34,"1,2,3-Trichlorobenzene",2009-11,Boonsri,0.001
35,"1,2,3-Trichlorobenzene",2009-11,Kohsoom,0.001
36,"1,2,3-Trichlorobenzene",2009-12,Boonsri,0.001
37,"1,2,4-Trichlorobenzene",2008-01,Boonsri,0.001
38,"1,2,4-Trichlorobenzene",2008-02,Boonsri,0.001
39,"1,2,4-Trichlorobenzene",2008-02,Kohsoom,0.001
40,"1,2,4-Trichlorobenzene",2008-03,Boonsri,0.001
41,"1,2,4-Trichlorobenzene",2008-03,Kohsoom,0.001
42,"1,2,4-Trichlorobenzene",2008-05,Kohsoom,0.001
43,"1,2,4-Trichlorobenzene",2008-06,Boonsri,0.001
44,"1,2,4-Trichlorobenzene",2008-06,Kohsoom,0.001
45,"1,2,4-Trichlorobenzene",2008-07,Boonsri,0.001
46,"1,2,4-Trichlorobenzene",2008-07,Kohsoom,0.001
47,"1,2,4-Trichlorobenzene",2008-08,Boonsri,0.001
48,"1,2,4-Trichlorobenzene",2008-09,Boonsri,0.001
49,"1,2,4-Trichlorobenzene",2008-09,Kohsoom,0.001
50,"1,2,4-Trichlorobenzene",2008-10,Boonsri,0.001
51,"1,2,4-Trichlorobenzene",2008-10,Kohsoom,0.001
52,"1,2,4-Trichlorobenzene",2008-11,Boonsri,0.001
53,"1,2,4-Trichlorobenzene",2008-11,Kohsoom,0.001
54,"1,2,4-Trichlorobenzene",2009-01,Boonsri,0.001
55,"1,2,4-Trichlorobenzene",2009-02,Boonsri,0.001
56,"1,2,4-Trichlorobenzene",2009-03,Boonsri,0.001
57,"1,2,4-Trichlorobenzene",2009-03,Kohsoom,0.001
58,"1,2,4-Trichlorobenzene",2009-04,Boonsri,0.001
59,"1,2,4-Trichlorobenzene",2009-05,Boonsri,0.001
60,"1,2,4-Trichlorobenzene",2009-05,Kohsoom,0.001
61,"1,2,4-Trichlorobenzene",2009-06,Boonsri,0.001
62,"1,2,4-Trichlorobenzene",2009-06,Kohsoom,0.001
63,"1,2,4-Trichlorobenzene",2009-07,Boonsri,0.001
64,"1,2,4-Trichlorobenzene",2009-07,Kohsoom,0.001
65,"1,2,4-Trichlorobenzene",2009-08,Boonsri,0.001
66,"1,2,4-Trichlorobenzene",2009-08,Kohsoom,0.001
67,"1,2,4-Trichlorobenzene",2009-09,Boonsri,0.001
68,"1,2,4-Trichlorobenzene",2009-09,Kohsoom,0.001
69,"1,2,4-Trichlorobenzene",2009-10,Boonsri,0.001
70,"1,2,4-Trichlorobenzene",2009-10,Kohsoom,0.001
71,"1,2,4-Trichlorobenzene",2009-11,Boonsri,0.001
72,"1,2,4-Trichlorobenzene",2009-11,Kohsoom,0.001
73,"1,2,4-Trichlorobenzene",2009-12,Boonsri,0.001
74,AGOC-3A,2014-01,Chai,0.28933333333333333
75,AGOC-3A,2014-01,Kannika,0.325
76,AGOC-3A,2014-01,Kohsoom,0.293
77,AGOC-3A,2014-01,Sakda,0.31066666666666665
78,AGOC-3A,2014-02,Boonsri,0.2956666666666667
79,AGOC-3A,2014-02,Busarakhan,0.282
80,AGOC-3A,2014-02,Chai,0.2803333333333334
81,AGOC-3A,2014-02,Kohsoom,0.285
82,AGOC-3A,2014-02,Somchair,0.265
83,AGOC-3A,2014-03,Boonsri,0.26699999999999996
84,AGOC-3A,2014-03,Chai,0.3045
85,AGOC-3A,2014-03,Kannika,0.283
86,AGOC-3A,2014-03,Kohsoom,0.27899999999999997
87,AGOC-3A,2014-03,Sakda,0.327
88,AGOC-3A,2014-04,Chai,0.295
89,AGOC-3A,2014-04,Kannika,0.29833333333333334
90,AGOC-3A,2014-04,Sakda,0.31966666666666665
91,AGOC-3A,2014-05,Boonsri,0.2843333333333333
92,AGOC-3A,2014-05,Busarakhan,0.3055
93,AGOC-3A,2014-05,Chai,2.3233333333333337
94,AGOC-3A,2014-05,Kannika,0.301
95,AGOC-3A,2014-05,Kohsoom,0.29100000000000004
96,AGOC-3A,2014-05,Sakda,0.26466666666666666
97,AGOC-3A,2014-05,Somchair,0.31100000000000005
98,AGOC-3A,2014-06,Boonsri,0.291
99,AGOC-3A,2014-06,Busarakhan,0.271
100,AGOC-3A,2014-06,Chai,0.32833333333333337
101,AGOC-3A,2014-06,Kannika,0.266
102,AGOC-3A,2014-06,Sakda,0.35966666666666663
103,AGOC-3A,2014-06,Somchair,0.292
104,AGOC-3A,2014-07,Boonsri,0.27066666666666667
105,AGOC-3A,2014-07,Busarakhan,0.341
106,AGOC-3A,2014-07,Chai,0.302
107,AGOC-3A,2014-07,Kannika,0.31566666666666665
108,AGOC-3A,2014-07,Kohsoom,0.26
109,AGOC-3A,2014-07,Sakda,0.29033333333333333
110,AGOC-3A,2014-07,Somchair,0.278
111,AGOC-3A,2014-08,Boonsri,0.31266666666666665
112,AGOC-3A,2014-08,Busarakhan,0.34600000000000003
113,AGOC-3A,2014-08,Chai,0.38033333333333336
114,AGOC-3A,2014-08,Kannika,0.5376666666666666
115,AGOC-3A,2014-08,Kohsoom,0.955
116,AGOC-3A,2014-08,Sakda,0.29266666666666663
117,AGOC-3A,2014-08,Somchair,0.29600000000000004
118,AGOC-3A,2014-09,Boonsri,0.321
119,AGOC-3A,2014-09,Busarakhan,0.258
120,AGOC-3A,2014-09,Chai,0.5356666666666666
121,AGOC-3A,2014-09,Kannika,0.6896666666666667
122,AGOC-3A,2014-09,Kohsoom,0.34299999999999997
123,AGOC-3A,2014-09,Sakda,0.30033333333333334
124,AGOC-3A,2014-09,Somchair,0.27399999999999997
125,AGOC-3A,2014-10,Boonsri,0.274
126,AGOC-3A,2014-10,Busarakhan,0.28
127,AGOC-3A,2014-10,Chai,0.29233333333333333
128,AGOC-3A,2014-10,Kannika,1.8176666666666665
129,AGOC-3A,2014-10,Kohsoom,0.348
130,AGOC-3A,2014-10,Sakda,1.1239999999999999
131,AGOC-3A,2014-10,Somchair,0.299
132,AGOC-3A,2014-11,Boonsri,0.566
133,AGOC-3A,2014-11,Busarakhan,0.252
134,AGOC-3A,2014-11,Chai,1.1896666666666667
135,AGOC-3A,2014-11,Kannika,0.5676666666666667
136,AGOC-3A,2014-11,Kohsoom,0.349
137,AGOC-3A,2014-11,Sakda,1.187
138,AGOC-3A,2014-11,Somchair,0.312
139,AGOC-3A,2014-12,Boonsri,0.3263333333333333
140,AGOC-3A,2014-12,Busarakhan,0.34600000000000003
141,AGOC-3A,2014-12,Chai,0.33066666666666666
142,AGOC-3A,2014-12,Kannika,0.32066666666666666
143,AGOC-3A,2014-12,Kohsoom,0.341
144,AGOC-3A,2014-12,Sakda,0.298
145,AGOC-3A,2014-12,Somchair,0.313
146,AGOC-3A,2015-01,Boonsri,119.00900000000001
147,AGOC-3A,2015-01,Busarakhan,0.302
148,AGOC-3A,2015-01,Chai,1.3719999999999999
149,AGOC-3A,2015-01,Kannika,0.30433333333333334
150,AGOC-3A,2015-01,Kohsoom,0.271
151,AGOC-3A,2015-01,Sakda,0.311
152,AGOC-3A,2015-01,Somchair,0.26
153,AGOC-3A,2015-02,Boonsri,30.149333333333335
154,AGOC-3A,2015-02,Busarakhan,0.7759999999999999
155,AGOC-3A,2015-02,Chai,0.311
156,AGOC-3A,2015-02,Kannika,0.2806666666666667
157,AGOC-3A,2015-02,Kohsoom,2.401
158,AGOC-3A,2015-02,Sakda,0.30899999999999994
159,AGOC-3A,2015-02,Somchair,0.331
160,AGOC-3A,2015-03,Boonsri,0.3153333333333334
161,AGOC-3A,2015-03,Busarakhan,0.303
162,AGOC-3A,2015-03,Chai,0.3156666666666667
163,AGOC-3A,2015-03,Kannika,0.2946666666666667
164,AGOC-3A,2015-03,Kohsoom,0.27
165,AGOC-3A,2015-03,Sakda,0.31466666666666665
166,AGOC-3A,2015-03,Somchair,0.27899999999999997
167,AGOC-3A,2015-04,Boonsri,0.3216666666666666
168,AGOC-3A,2015-04,Busarakhan,0.29600000000000004
169,AGOC-3A,2015-04,Chai,0.301
170,AGOC-3A,2015-04,Kannika,0.3
171,AGOC-3A,2015-04,Kohsoom,0.33799999999999997
172,AGOC-3A,2015-04,Sakda,0.311
173,AGOC-3A,2015-04,Somchair,0.27399999999999997
174,AGOC-3A,2015-05,Boonsri,0.3146666666666667
175,AGOC-3A,2015-05,Busarakhan,0.319
176,AGOC-3A,2015-05,Chai,0.4146666666666667
177,AGOC-3A,2015-05,Kannika,0.8166666666666668
178,AGOC-3A,2015-05,Kohsoom,0.302
179,AGOC-3A,2015-05,Sakda,0.338
180,AGOC-3A,2015-05,Somchair,0.324
181,AGOC-3A,2015-06,Boonsri,0.2993333333333333
182,AGOC-3A,2015-06,Busarakhan,0.265
183,AGOC-3A,2015-06,Chai,0.2843333333333333
184,AGOC-3A,2015-06,Kannika,0.31066666666666665
185,AGOC-3A,2015-06,Kohsoom,0.3
186,AGOC-3A,2015-06,Sakda,0.27566666666666667
187,AGOC-3A,2015-06,Somchair,0.273
188,AGOC-3A,2015-07,Boonsri,0.2776666666666667
189,AGOC-3A,2015-07,Chai,0.62
190,AGOC-3A,2015-07,Kannika,0.291
191,AGOC-3A,2015-07,Kohsoom,0.317
192,AGOC-3A,2015-07,Sakda,0.289
193,AGOC-3A,2015-08,Boonsri,3.7516666666666665
194,AGOC-3A,2015-08,Busarakhan,0.46299999999999997
195,AGOC-3A,2015-08,Chai,3.4343333333333335
196,AGOC-3A,2015-08,Kannika,0.29633333333333334
197,AGOC-3A,2015-08,Kohsoom,0.265
198,AGOC-3A,2015-08,Sakda,0.28733333333333333
199,AGOC-3A,2015-08,Somchair,0.33799999999999997
