id,chemical,date,year,value
0,"1,2,3-Trichlorobenzene",2008-01,2008,0.001
1,"1,2,3-Trichlorobenzene",2008-02,2008,0.007075
2,"1,2,3-Trichlorobenzene",2008-03,2008,0.001
3,"1,2,3-Trichlorobenzene",2008-05,2008,0.001
4,"1,2,3-Trichlorobenzene",2008-06,2008,0.001
5,"1,2,3-Trichlorobenzene",2008-07,2008,0.001
7,"1,2,3-Trichlorobenzene",2008-09,2008,0.001
8,"1,2,3-Trichlorobenzene",2008-10,2008,0.001
9,"1,2,3-Trichlorobenzene",2008-11,2008,0.001
10,"1,2,3-Trichlorobenzene",2009-01,2009,0.001
11,"1,2,3-Trichlorobenzene",2009-02,2009,0.001
12,"1,2,3-Trichlorobenzene",2009-03,2009,0.001
13,"1,2,3-Trichlorobenzene",2009-04,2009,0.001
14,"1,2,3-Trichlorobenzene",2009-05,2009,0.001
15,"1,2,3-Trichlorobenzene",2009-06,2009,0.001
16,"1,2,3-Trichlorobenzene",2009-07,2009,0.001
17,"1,2,3-Trichlorobenzene",2009-08,2009,0.001
18,"1,2,3-Trichlorobenzene",2009-09,2009,0.001
19,"1,2,3-Trichlorobenzene",2009-10,2009,0.001
20,"1,2,3-Trichlorobenzene",2009-11,2009,0.001
21,"1,2,3-Trichlorobenzene",2009-12,2009,0.001
22,"1,2,4-Trichlorobenzene",2008-01,2008,0.001
23,"1,2,4-Trichlorobenzene",2008-02,2008,0.001
24,"1,2,4-Trichlorobenzene",2008-03,2008,0.001
25,"1,2,4-Trichlorobenzene",2008-05,2008,0.001
26,"1,2,4-Trichlorobenzene",2008-06,2008,0.001
27,"1,2,4-Trichlorobenzene",2008-07,2008,0.001
28,"1,2,4-Trichlorobenzene",2008-08,2008,0.001
29,"1,2,4-Trichlorobenzene",2008-09,2008,0.001
30,"1,2,4-Trichlorobenzene",2008-10,2008,0.001
31,"1,2,4-Trichlorobenzene",2008-11,2008,0.001
32,"1,2,4-Trichlorobenzene",2009-01,2009,0.001
33,"1,2,4-Trichlorobenzene",2009-02,2009,0.001
34,"1,2,4-Trichlorobenzene",2009-03,2009,0.001
35,"1,2,4-Trichlorobenzene",2009-04,2009,0.001
36,"1,2,4-Trichlorobenzene",2009-05,2009,0.001
37,"1,2,4-Trichlorobenzene",2009-06,2009,0.001
38,"1,2,4-Trichlorobenzene",2009-07,2009,0.001
39,"1,2,4-Trichlorobenzene",2009-08,2009,0.001
40,"1,2,4-Trichlorobenzene",2009-09,2009,0.001
41,"1,2,4-Trichlorobenzene",2009-10,2009,0.001
42,"1,2,4-Trichlorobenzene",2009-11,2009,0.001
43,"1,2,4-Trichlorobenzene",2009-12,2009,0.001
44,AGOC-3A,2014-01,2014,0.30276923076923073
45,AGOC-3A,2014-02,2014,0.28341666666666665
46,AGOC-3A,2014-03,2014,0.2960625
47,AGOC-3A,2014-04,2014,0.30433333333333334
48,AGOC-3A,2014-05,2014,0.6496470588235295
49,AGOC-3A,2014-06,2014,0.31015384615384617
50,AGOC-3A,2014-07,2014,0.2943333333333333
51,AGOC-3A,2014-08,2014,0.4111333333333333
52,AGOC-3A,2014-09,2014,0.44407692307692304
53,AGOC-3A,2014-10,2014,0.7633999999999997
54,AGOC-3A,2014-11,2014,0.7629333333333334
55,AGOC-3A,2014-12,2014,0.3218
56,AGOC-3A,2015-01,2015,17.486642857142858
57,AGOC-3A,2015-02,2015,6.443866666666667
58,AGOC-3A,2015-03,2015,0.3048666666666667
59,AGOC-3A,2015-04,2015,0.3072666666666667
60,AGOC-3A,2015-05,2015,0.4398
61,AGOC-3A,2015-06,2015,0.28986666666666666
62,AGOC-3A,2015-07,2015,0.36538461538461536
63,AGOC-3A,2015-08,2015,1.625
64,AGOC-3A,2015-09,2015,0.8651666666666665
65,AGOC-3A,2015-10,2015,2.110555555555556
66,AGOC-3A,2015-11,2015,0.7365
67,AGOC-3A,2015-12,2015,0.30666666666666664
68,AGOC-3A,2016-01,2016,0.07215384615384615
69,AGOC-3A,2016-02,2016,0.0412
70,AGOC-3A,2016-03,2016,0.034933333333333344
71,AGOC-3A,2016-04,2016,0.38026666666666664
72,AGOC-3A,2016-05,2016,0.16899999999999996
73,AGOC-3A,2016-06,2016,0.8490666666666666
74,AGOC-3A,2016-07,2016,0.813
75,AGOC-3A,2016-08,2016,0.06221428571428572
76,AGOC-3A,2016-09,2016,0.09293333333333333
77,AGOC-3A,2016-10,2016,0.20253333333333326
78,AGOC-3A,2016-11,2016,0.039933333333333335
79,AGOC-3A,2016-12,2016,0.057
80,AOX,1998-01,1998,0.0
81,AOX,1998-02,1998,0.0
82,AOX,1998-03,1998,0.0
83,AOX,1998-04,1998,0.0
84,AOX,1998-05,1998,0.0
85,AOX,1998-06,1998,0.0
86,AOX,1998-07,1998,0.0
87,AOX,1998-08,1998,0.0
88,AOX,1998-09,1998,0.0
89,AOX,1998-10,1998,0.0
90,AOX,1998-11,1998,0.0
91,AOX,1998-12,1998,0.0
92,AOX,2008-01,2008,16.3
93,AOX,2008-02,2008,21.499999999999996
94,AOX,2008-03,2008,21.045454545454547
95,AOX,2008-05,2008,20.5625
96,AOX,2008-10,2008,19.472727272727276
97,AOX,2008-11,2008,20.245454545454546
98,AOX,2008-12,2008,19.323076923076922
99,AOX,2009-01,2009,0.0
100,AOX,2009-02,2009,0.0
101,AOX,2009-03,2009,0.0
102,AOX,2009-04,2009,0.0
103,AOX,2009-05,2009,0.0
104,AOX,2009-06,2009,0.0
105,AOX,2009-07,2009,0.0
106,AOX,2009-08,2009,0.0
107,AOX,2009-09,2009,0.0
108,AOX,2009-10,2009,0.0
109,AOX,2009-11,2009,0.0
110,AOX,2009-12,2009,0.0
111,AOX,2010-01,2010,37.25
112,AOX,2010-02,2010,20.9
113,AOX,2010-03,2010,19.0
114,AOX,2010-04,2010,19.5
115,AOX,2010-05,2010,16.425
116,AOX,2010-06,2010,22.75
117,AOX,2010-07,2010,19.75
118,AOX,2010-08,2010,21.25
119,AOX,2010-09,2010,19.7
120,AOX,2010-10,2010,20.575
121,AOX,2010-11,2010,22.35
122,AOX,2010-12,2010,36.4
123,AOX,2013-01,2013,25.5
124,AOX,2013-02,2013,27.5
125,AOX,2013-03,2013,19.75
126,AOX,2013-04,2013,27.25
127,AOX,2013-05,2013,44.25
128,AOX,2013-06,2013,17.75
129,AOX,2013-07,2013,21.75
130,AOX,2013-08,2013,24.75
131,AOX,2013-09,2013,23.75
132,AOX,2013-10,2013,24.75
133,AOX,2013-11,2013,26.0
134,AOX,2013-12,2013,27.5
135,AOX,2016-01,2016,17.7
136,AOX,2016-02,2016,20.775000000000002
137,AOX,2016-03,2016,16.575
138,AOX,2016-04,2016,17.475
139,AOX,2016-05,2016,18.625
140,AOX,2016-06,2016,17.775
141,AOX,2016-07,2016,17.25
142,AOX,2016-08,2016,17.65
143,AOX,2016-09,2016,17.475
144,AOX,2016-10,2016,17.925
145,AOX,2016-11,2016,20.9
146,AOX,2016-12,2016,16.125
147,Acenaphthene,2008-01,2008,0.003
148,Acenaphthene,2008-02,2008,0.003
149,Acenaphthene,2008-03,2008,0.003
150,Acenaphthene,2008-05,2008,0.003
151,Acenaphthene,2008-06,2008,0.003974999999999999
152,Acenaphthene,2008-07,2008,0.00758857142857143
153,Acenaphthene,2008-08,2008,0.0030000000000000005
154,Acenaphthene,2008-09,2008,0.003
155,Acenaphthene,2008-10,2008,0.003
156,Acenaphthene,2008-11,2008,0.003
157,Acenaphthene,2009-01,2009,0.003
158,Acenaphthene,2009-02,2009,0.0030000000000000005
159,Acenaphthene,2009-03,2009,0.003
160,Acenaphthene,2009-04,2009,0.0030000000000000005
161,Acenaphthene,2009-05,2009,0.003
162,Acenaphthene,2009-06,2009,0.003
163,Acenaphthene,2009-07,2009,0.003
164,Acenaphthene,2009-08,2009,0.003
165,Acenaphthene,2009-09,2009,0.003
166,Acenaphthene,2009-10,2009,0.003
167,Acenaphthene,2009-11,2009,0.003
168,Acenaphthene,2009-12,2009,0.0030000000000000005
169,Acenaphthylene,2008-01,2008,0.004
170,Acenaphthylene,2008-02,2008,0.004
171,Acenaphthylene,2008-03,2008,0.004
172,Acenaphthylene,2008-05,2008,0.004
173,Acenaphthylene,2008-06,2008,0.004
174,Acenaphthylene,2008-07,2008,0.004
175,Acenaphthylene,2008-08,2008,0.004
176,Acenaphthylene,2008-09,2008,0.004
177,Acenaphthylene,2008-10,2008,0.004
178,Acenaphthylene,2008-11,2008,0.004
179,Acenaphthylene,2009-01,2009,0.004
180,Acenaphthylene,2009-02,2009,0.004
181,Acenaphthylene,2009-03,2009,0.004
182,Acenaphthylene,2009-04,2009,0.004
183,Acenaphthylene,2009-05,2009,0.004
184,Acenaphthylene,2009-06,2009,0.004
185,Acenaphthylene,2009-07,2009,0.004
186,Acenaphthylene,2009-08,2009,0.004
187,Acenaphthylene,2009-09,2009,0.004
188,Acenaphthylene,2009-10,2009,0.004
189,Acenaphthylene,2009-11,2009,0.004
190,Acenaphthylene,2009-12,2009,0.004
191,Alachlor,2005-05,2005,0.014894736842105264
192,Alachlor,2005-07,2005,0.011571428571428571
193,Alachlor,2005-08,2005,0.1695238095238095
194,Alachlor,2005-09,2005,0.24323809523809523
195,Alachlor,2006-01,2006,0.1012857142857143
196,Alachlor,2006-02,2006,0.16776190476190478
197,Alachlor,2006-03,2006,0.3431666666666666
198,Alachlor,2006-04,2006,0.2091
199,Alachlor,2006-05,2006,0.15200000000000002
200,Alachlor,2006-06,2006,0.34333333333333327
201,Alachlor,2006-07,2006,0.2363809523809523
202,Alachlor,2006-08,2006,0.21619047619047624
203,Alachlor,2006-09,2006,0.24300000000000002
204,Alachlor,2006-10,2006,0.183
205,Alachlor,2006-11,2006,0.1970952380952381
